??Title	Description	Creator	Subject	Date	Coverage - Geographic	Extent	Genre	Type of Material	Language	Note	Identifier	Provenance	Use Rights	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
																				
																				
Additions to no. 1009 Terrace Av. for Miss Finlayson	"Item is an architectural drawing by Samuel Maclure prepared for Sarah S. Finlayson of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1911-1912	"Craigmont, 1009 Terrace Avenue, Victoria, B.C."	1 of 7 drawings: ink on linen; 43 x 51 cm or smaller	architectural drawings AAT	Still Image	eng	"Two sets of drawings showing plans and elevations for alterations to a two-storey house with basement which Maclure designed for H.A. Munn about 1900 (see file 205). The first set (AP526-AP528) is dated Nov. 1911. The second set (AP529-AP531.1), dated Jan. 1912, appears to show some of the work executed from the earlier plans as well as what appear to be further alterations. In the first set of drawings the altered basement contains two servants' rooms, a sewing room, spare room and corridor. The second set shows only one servant's room, sewing room, spare room and a coal bin and chute. The first floor comprises a vestibule, hall, den, drawing room, kitchen, pantry, dining room, laundry and watercloset. A new stairway descends from the terrace which adjoins the house on this level. The second floor includes four bedrooms, a bathroom and two balconies, including a new sleeping balcony, which appears to be absent in the second set of drawings. The first set of drawings is signed ""A.J. Thompson [and] S.S. Finlayson""."	"SC075, Acc. 1980-067, AP529"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2362	2362	2363.jp2	/collection35/image/2363.jp2
																				
"Residence for H.E. Beasley Esq., St. Charles St., Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for H.E. Beasley, Esq. of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	3/26/1905	"943 St. Charles Street, Victoria, B.C."	1 of 16 drawings: ink on linen; 39 x 48 cm or smaller	architectural drawings AAT	Still Image	eng	"Plans, elevations and details. Two-storey house with attic and basement. The basement contains a servant's room, laundry room and a space reserved for a future billiard room. The ground floor comprises a veranda, vestibule, hall, living room, drawing room, dining room, kitchen, pantry, larder and side-door vestibule with adjoining lavatory (wash basin only). On the second floor are planned a hall, five bedrooms and bathroom. A preliminary drawing set shows an attic containing two bedrooms and a storeroom, but a comparable drawing is not part of the working set. The basement walls appear to be of concrete below ground and wood framing above, but some elevations seem to specify a stone basement. The wood-frame construction of the rest of the structure is finished with roughcast on the first floor and half timbering on the second. Working drawings are signed by John Hepburn and H.E. Beasley."	"SC075, Acc. 1980-067, AP212"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2043	2043	2044.jp2	/collection35/image/2044.jp2
																				
																				
																				
"House for Mrs. Cox, Fowl [sic] Bay Road, Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for Kate Cox of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	3/27/1905	"1973 Crescent Road, Oak Bay, B.C."	"1 of 15 drawings: 8 pencil on paper, 7 ink on linen; 77 x 78 cm"	architectural drawing AAT	Still Image	eng	"Plans, elevations and details. Two-storey house with basement. The first floor comprises a hall, dining room, kitchen, pantry, two bedrooms, bathroom and water closet. The second floor consists of a hall, living room, sun room, two bedrooms and bathroom. The exterior is finished in roughcast, and use of leaded windows is specified on both floors. The architect has also provided a plan for a lychgate as a garden entrance. Two drawings are stamped and inscribed: ""This is one of the drawings referred to in our contract dated Ap. 8th 1913. [Signed] N Benneck & Sons [and] Kate Cox""."	"SC075, Acc. 1980-067, AP375"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2213	2213	2214.jp2	/collection35/image/2214.jp2
																				
Proposed addition to Jericho Country Club	"item is an architectural drawing by Maclure & Fox prepared for Jericho Golf and Country Club of Vancouver, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1911-1913	"Point Grey, Vancouver, B.C."	"1 of 34 drawings: 21 pencil on paper, 4 pencil & ink on paper, 4 ink on linen, 5 blueprints; 68 x 92 cm or smaller"	architectural drawings AAT		eng	"Plans, elevations, sections, details and heating. A detailed item list is available. Plans for a new clubhouse call for a one-storey structure with attic and basement. The ground floor comprises a lounge room, dining room, ladies' sitting room, smoking room, office, bar, kitchen, pantry, larder, storeroom, maid's room, housekeeper's sitting room, men's and ladies' locker rooms, lavatories and drying rooms. A large veranda extends across one side of the building on this level, and a pergola across part of another side. The attic consists of eleven bedrooms, a box room and three bathrooms. Part of this attic plan may have been cancelled. The file contains a sketch plan of proposed additions by the architect R.P.S. Twizell (AP952, dated Dec. 1911). Maclure and Fox prepared four plans (AP948-AP951) for a proposed addition which includes a dressing room, smoking room, shop and toilets. It is not clear whether these latter plans preceded their plans for a new clubhouse. The heating plans (AP958-AP960) were prepared by Francis H. Sprague, consulting engineer."	"SC075, Acc. 1980-067, AP974"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2806	2806	2807.jp2	/collection35/image/2807.jp2
"Proposed alterations & additions to house on Stanley Ave., Victoria, B.C., for Mrs. J.L. Raymur"	"Item is an architectural drawing by Samuel Maclure prepared for Mrs. J.L. Raymur of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	4/4/1905	"Stanley Avenue, Victoria, B.C."	1 of 15 drawings: pencil on paper; 40 x 66 cm or smaller	architectural drawings AAT	Still Image	eng	"This file contains three different sets of proposal drawings. The first set consists of plans only; the second shows plans, elevation and section; and the third contains plans, elevations and details of kitchen fitments. There is also a drawing showing the first and second floor plans of the original house. An Elizabeth Raymur lived at 1315 Stanley Avenue in the 1920s, but this address does not now exist. No building similar in age or design to anything in this set exists at or near 1315 Stanley Avenue. The existing house shown in drawing AP1493 (Aug. 1921) has two storeys, but it is not clear whether there is a basement. The first floor includes a porch, hall, drawing room (mislabelled dining room), a dining room, kitchen, pantry, woodshed and water closet. The second floor has a hall, four bedrooms, bathroom and water closet. The first two proposals appear to transform the house into a boarding house."	"SC075, Acc. 1980-067, AP1482"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3334	3334	3335.jp2	/collection35/image/3335.jp2
																				
																				
Proposed addition to Jericho Country Club	"item is an architectural drawing by Maclure & Fox prepared for Jericho Golf and Country Club of Vancouver, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1911-1913	"Point Grey, Vancouver, B.C."	"1 of 34 drawings: 21 pencil on paper, 4 pencil & ink on paper, 4 ink on linen, 5 blueprints; 68 x 92 cm or smaller"	architectural drawings AAT		eng	"Plans, elevations, sections, details and heating. A detailed item list is available. Plans for a new clubhouse call for a one-storey structure with attic and basement. The ground floor comprises a lounge room, dining room, ladies' sitting room, smoking room, office, bar, kitchen, pantry, larder, storeroom, maid's room, housekeeper's sitting room, men's and ladies' locker rooms, lavatories and drying rooms. A large veranda extends across one side of the building on this level, and a pergola across part of another side. The attic consists of eleven bedrooms, a box room and three bathrooms. Part of this attic plan may have been cancelled. The file contains a sketch plan of proposed additions by the architect R.P.S. Twizell (AP952, dated Dec. 1911). Maclure and Fox prepared four plans (AP948-AP951) for a proposed addition which includes a dressing room, smoking room, shop and toilets. It is not clear whether these latter plans preceded their plans for a new clubhouse. The heating plans (AP958-AP960) were prepared by Francis H. Sprague, consulting engineer."	"SC075, Acc. 1980-067, AP981"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2813	2813	2814.jp2	/collection35/image/2814.jp2
																				
																				
"Sketch of proposed alterations & additions to """"The Oakes"""", Oak Bay, B.C., for Alister-Forbes, Esq. "	"Item is an architectural drawing by Samuel Maclure prepared for Alister Forbes, Esq. of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	4/4/1905		1 of 7 drawings: pencil on paper; 37 x 33 cm or smaller	architectural drawings AAT	Still Image	English	"Plans. Alterations and additions to a two-storey house with basement which Maclure probably designed for John Ernest Smart and which was built about 1908. The first floor of the existing structure consists of a hall, library, dining room, pantry, breakfast room, kitchen, sun room, dining room and veranda. On the second floor are a hall, four bedrooms, dressing room, bathroom and water closet. A laundry and larder are in the basement. A coat room and connecting water closet are added off the hall just inside the porch. The veranda is enclosed and fitted with windows and doors, and a wall separating it from the sun room is erected. The drawing room is extended into the former veranda by removal of the wall separating them. An extension of the dining room appears in earlier plans but not in the final drawings. On the second floor the back bedroom receives a new fireplace and built-in shelves, and the door communicating with the dressing room is moved. A second bathroom is added between the two front bedrooms. Three drawings inscribed: ""This is one of the drawings referred to in the letter of agreement dated July 27th, 1921. [Signed] Eli Hume."""	"SC075, Acc. 1980-067, AP34"		"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/1854	1854	1855.jp2	/collection35/image/1855.jp2
"Proposed office layout for Gairdner & Co Ltd, Alberni Street: floor of Burrard Building, 1030 West Georgia St, Vancouver, BC."	Item is an architectural drawing by Alex Park and Son Ltd. prepared for Gairdner & Co. Ltd. of Vancouver.	Alex Park and Son (firm)	Architecture	5/11/1905	"Burrard Building, 1030 West Georgia Street, Vancouver"	"1 of 8 drawings: 2 pencil on paper, 6 diazo prints; 57 x 88 cm or smaller"	architectural drawings AAT	Still Image	eng	Plans showing different layout proposals. Also includes a drawing of curtain wall details prepared for the architects by Continental Aluminium Products Ltd.	"SC075, Acc. 1980-067, AP2105"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3893	3893	3894.jp2	/collection35/image/3894.jp2
																				
																				
Vancouver Tennis Club: new premises.	Item is an architectural drawing by Maclure 7 Fox prepared for the Vancouver Lawn Tennis Club.	Maclure & Fox (Firm)	Architecture	1913-1914	"16th Avenue and Fir Street, Vancouver, B.C."	"1 of 15 drawings: 8 pencil on paper, 7 pencil & ink on paper; 63 x 68 cm or smaller"	architectural drawings AAT	Still Image	eng	"Sketches and proposal drawings showing plans, sections and details. Two very similar proposals called ""scheme 2"" and ""scheme 3"" show a ground floor with a tea room, kitchen, pantry, store room, lavatory, ladies' locker room and office. There is a large veranda on two sides of the ground floor. The second floor contains the men's locker room, kitchen, sitting room, bedroom, bathroom and lavatory."	"SC075, Acc. 1980-067, AP1781"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3592	3592	3593.jp2	/collection35/image/3593.jp2
																				
																				
"Alterations and additions to house in Wilmot Place, Oak Bay, for Lawrence M. Earle, Esq."	"Item is an architectural drawing by Samuel Maclure prepared for Lawrence M. Earle of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1922-1924	"Wilmot House, 2157 Cubbon Drive, Oak Bay, B.C."	"1 of 26 drawings: 19 pencil on paper, 4 ink on paper, 2 ink on linen, 1 blueprint; 46 x 65 cm or smaller"	architectural drawings AAT	Still Image	eng	"Plans and elevations. Also includes wiring diagrams. Alterations and additions to a two-storey house with basement and plans for a garage and gardener's cottage. The numerous floor layout proposals cannot be economically described. The original half timbering on the exterior appears to be retained in the alterations. Maclure originally designed the house in 1911 for J.D. Pemberton, Jr. (see file 145) and prepared plans of additions in 1917 for Mrs. Harold Lewis (see file 115). Its original address was 1652 Wilmot Place."	"SC075, Acc. 1980-067, AP487"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2320	2320	2321.jp2	/collection35/image/2321.jp2
																				
																				
																				
"Alterations and additions to house for Dr. Scott-Moncrieff, Richardson St., Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for W.E. Scott-Moncrieff of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1918-1920	"1535 Richardson Street, Victoria, B.C."	1 of 4 drawings: pencil on paper; 44 x 43 cm or smaller	architectural drawings AAT	Still Image	eng	"Plans and elevations. Four different proposals for enlargement and additions of bedrooms, dressing room and sleeping porch."	"SC075, Acc. 1980-067, AP1584-1585"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3433	3433	3434.jp2	/collection35/image/3434.jp2
																				
																				
																				
"House for G.A. Richardson, Esq., Moss St., Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for G.A. Richardson of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	5/1/1912	"1025 Moss Street, Victoria, B.C."	1 of 4 drawings: ink on linen; 42 x 36 cm or smaller	architectural drawings AAT	Still Image	eng	"Plans, elevations, section and details. Two-storey house with basement. The basement includes a water closet and laundry room. The ground floor comprises a vestibule, hall, drawing room, den, dining room, kitchen, pantry and veranda. The second floor contains the upper hall, three bedrooms, servant's room, bathroom, water closet and sleeping porch. The exterior walls of the ground floor and part of the second floor are finished in shingles and the rest of the second floor in half timbering. Leaded lights are extensively specified for the windows. Stamped and inscribed: ""This is one of the drawings referred to in our contract dated June 25th, 12. [Signed] Murry & [illegible and] G.A. Richardson""."	"SC075, Acc. 1980-067, AP1501"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3353	3353	3354.jp2	/collection35/image/3354.jp2
																				
																				
																				
"Plan of house on Beach Drive, Oak Bay, B.C., for Mrs. A.R. Walsh."	"Item is an architectural drawing by Samuel Maclure prepared for Lilian S. Walsh (Mrs. A.R. Walsh) of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1921-1922	"2527 Beach Drive, Oak Bay, B.C."	"1 of 23 drawings: 3 pencil on paper, 8 ink on paper, 12 blueprints; 54 x 83 cm or smaller"	architectural drawings AAT	Still Image	eng	"Preliminary and contract tracings and blueprints taken from each set. All types include plans, elevations, sections, details and block and drainage plans. A detailed item list is available. Two-storey house with part basement. The basement includes a workshop, water closet, laundry room, furnace room and coal bin. The ground floor comprises a hall, living room, dining room, kitchen and pantry. The second floor consists of three bedrooms and a bathroom. Contract drawings (AP1813-AP1817) inscribed: """"This is one of the drawings referred to in our agreement dated 18th March 1922. [Signed] Williams, Trerise & Williams [and] Lilian S. Walsh"""". "	"SC075, Acc. 1980-067, AP1808"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3619	3619	3620.jp2	/collection35/image/3620.jp2
																				
"Additions and alterations to ""Clovelly"", Victoria West, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for Sir Frank Barnard of Victoria West, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1912-1928	"Clovelly, 730 Sea Terrace, Victoria, B.C."	"1 of 15 drawings: 12 pencil on paper, 3 ink on paper; 71 x 87 cm or smaller"	architectural drawings AAT	Still Image	eng	"This file includes sketches, presentation drawings, working drawings and a property plan. Drawings show plans, elevations and detail. Additions and alterations to house (at least two floors) and plans for a garden house. On the ground floor a sun room, terrace, vestibule, porch and porte cochere are added. The drawing room is extended by removing the wall separating it from the conservatory. The ceiling of the conservatory is given the same plaster cornice and rib treatment as the drawing room. Plans specify flagstone paving on the terrace and tile paving on the porch and vestibule. Two proposals for a garden house or pavilion are present, and the evidently successful version is for a rustic one-storey structure of wood-frame construction covered with vertical unbarked fir slabs. Includes ""Agreement and general conditions of contract."" (13 p.) signed by Ed Williams for Williams, Trerise & Williams, contractors, and F.S. Barnard (AP208)."	"SC075, Acc. 1980-067, AP2048"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3836	3836	3837.jp2	/collection35/image/3837.jp2
																				
"Proposed alterations and additions to residence for J. Galt, Esq., Rockland Ave., Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for J. Galt of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1920-1921	"Galt House, 1320 Rockland Avenue, Victoria, B.C."	1 of 4 drawings: pencil on paper; 63 x 55 cm or smaller	architectural drawings AAT	Still Image	eng	Elevations and details. Alterations to a house Maclure designed in 1913-14 for Frederick Nation (see file 130). Plans call for new doors and windows from the dining and drawing rooms to the veranda and a new mantel for a bedroom.	"SC075, Acc. 1980-067, AP579"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2411	2411	2412.jp2	/collection35/image/2412.jp2
"Plan of residence on Gonzales Hill, Victoria, B.C., for Lt. Col. C.D. Schreiber"	"Item is an architectural drawing by Samuel Maclure prepared for C.D. Schreiber of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	4/4/1905	"Gonzales Hill, Victoria, B.C."	1 of 7 drawings: pencil on paper; 44 x 80 cm or smaller	architectural drawings AAT	Still Image	eng	"Block plan, plans, elevations, sections and details. Two-storey house with basement. The ground floor comprises a vestibule with adjoining lavatory, hall, living room, sun room, dining room, kitchen, breakfast ingle, pantry and maid's room. The second floor contains a hall, alcove, two bedrooms and a bathroom. The exterior walls are finished in roughcast with shingles or clapboard in the tops of the gable ends."	"SC075, Acc. 1980-067, AP1581"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3430	3430	3431.jp2	/collection35/image/3431.jp2
																				
																				
